config_name,noise_type,speech_leakage,input_snr_db,output_snr_db,snr_improvement_db,rmse_to_clean,filter_length,mu
A_PreAI_NLCanceller,stationary,False,5.0,0.68,-4.32,0.249644,128,0.3
B_PostAI_Residual,stationary,False,5.0,3.61,-1.39,0.178053,64,0.05
C_AdaptiveSpectralMask,stationary,False,5.0,1.64,-3.36,0.22362,512,0.0
A_PreAI_NLCanceller,stationary,True,5.0,0.35,-4.65,0.259338,128,0.3
B_PostAI_Residual,stationary,True,5.0,2.06,-2.94,0.212935,64,0.05
C_AdaptiveSpectralMask,stationary,True,5.0,1.64,-3.36,0.22362,512,0.0
A_PreAI_NLCanceller,non_stationary,False,5.0,-8.16,-13.16,0.69079,128,0.3
B_PostAI_Residual,non_stationary,False,5.0,-3.83,-8.83,0.419744,64,0.05
C_AdaptiveSpectralMask,non_stationary,False,5.0,1.32,-3.68,0.23178,512,0.0
A_PreAI_NLCanceller,non_stationary,True,5.0,-0.51,-5.51,0.286267,128,0.3
B_PostAI_Residual,non_stationary,True,5.0,0.69,-4.31,0.249402,64,0.05
C_AdaptiveSpectralMask,non_stationary,True,5.0,1.32,-3.68,0.23178,512,0.0
A_PreAI_NLCanceller,impulsive,False,5.0,-0.61,-5.61,0.289618,128,0.3
B_PostAI_Residual,impulsive,False,5.0,4.33,-0.67,0.163889,64,0.05
C_AdaptiveSpectralMask,impulsive,False,5.0,1.32,-3.68,0.231876,512,0.0
A_PreAI_NLCanceller,impulsive,True,5.0,-1.63,-6.63,0.325801,128,0.3
B_PostAI_Residual,impulsive,True,5.0,0.38,-4.62,0.258359,64,0.05
C_AdaptiveSpectralMask,impulsive,True,5.0,1.32,-3.68,0.231876,512,0.0
