mix_id,clean_source,clean_speaker,clean_duration_s,noise_source,noise_class,target_snr_db,achieved_snr_db,rir_applied,rir_source,impulse_injected,impulse_snr_db,gain_variation,clip_simulated,sample_rate,output_samples,split,clean_hash,noise_hash,timestamp,config_hash
demo_speech_000__demo_engine__+0dB_000000,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_engine.wav,stationary,0,1.0354386859035003e-06,False,,False,10.0,False,False,16000,80000,train,5a7deb5785bbf8c2,bac896a3165b7264,2026-08-24T08:54:27.380045,b3feacc6d9da4379
demo_speech_000__demo_engine__+5dB_000001,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_engine.wav,impulsive,5,5.000000476837158,False,,True,10.0,False,False,16000,80000,train,5a7deb5785bbf8c2,bac896a3165b7264,2026-08-24T08:54:27.393937,b3feacc6d9da4379
demo_speech_000__demo_engine__+10dB_000002,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_engine.wav,impulsive,10,10.0,False,,True,10.0,False,False,16000,80000,train,5a7deb5785bbf8c2,bac896a3165b7264,2026-08-24T08:54:27.411860,b3feacc6d9da4379
demo_speech_000__demo_rotor__+0dB_000003,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_rotor.wav,non_stationary,0,0.0,False,,False,10.0,False,False,16000,80000,train,5a7deb5785bbf8c2,cd6163c73e852c0c,2026-08-24T08:54:27.455580,b3feacc6d9da4379
demo_speech_000__demo_rotor__+5dB_000004,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_rotor.wav,impulsive,5,4.999999523162842,False,,False,10.0,False,False,16000,80000,train,5a7deb5785bbf8c2,cd6163c73e852c0c,2026-08-24T08:54:27.491758,b3feacc6d9da4379
demo_speech_000__demo_rotor__+10dB_000005,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_rotor.wav,non_stationary,10,10.0,False,,False,10.0,False,False,16000,80000,train,5a7deb5785bbf8c2,cd6163c73e852c0c,2026-08-24T08:54:27.508981,b3feacc6d9da4379
demo_speech_000__demo_wind__+0dB_000006,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_wind.wav,impulsive,0,0.0,False,,False,10.0,False,False,16000,80000,train,5a7deb5785bbf8c2,ff20e91d95dfc512,2026-08-24T08:54:27.570352,b3feacc6d9da4379
demo_speech_000__demo_wind__+5dB_000007,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_wind.wav,stationary,5,5.000000476837158,False,,False,10.0,False,False,16000,80000,val,5a7deb5785bbf8c2,ff20e91d95dfc512,2026-08-24T08:54:27.590260,b3feacc6d9da4379
demo_speech_000__demo_wind__+10dB_000008,data\clean\_demo\demo_speech_000.wav,demo,5.0,data\noise\_demo\demo_wind.wav,stationary,10,10.0,False,,False,10.0,False,False,16000,80000,test,5a7deb5785bbf8c2,ff20e91d95dfc512,2026-08-24T08:54:27.611160,b3feacc6d9da4379
demo_speech_001__demo_engine__+0dB_000009,data\clean\_demo\demo_speech_001.wav,demo,5.0,data\noise\_demo\demo_engine.wav,impulsive,0,1.0354386859035003e-06,False,,False,10.0,False,False,16000,80000,test,6892d69a58949702,bac896a3165b7264,2026-08-24T08:54:27.669491,b3feacc6d9da4379
