sample_id,split,speaker_id,noise_id,noise_category,provenance,target_snr_db,actual_snr_db,speech_leakage_ratio,delay_samples,gain_mismatch_db,duration_sec,primary_rms,reference_rms,primary_path,reference_path,clean_path,sha256_hash
SPK_001__tank_engine_t90__+5dB,TRAIN,SPK_001,tank_engine_t90,STATIONARY,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,0.0,3.0,0.103352,0.050298,mixed\TRAIN\SPK_001__tank_engine_t90__+5dB__primary.wav,mixed\TRAIN\SPK_001__tank_engine_t90__+5dB__reference.wav,clean\SPK_001_clean.wav,f828ed9ee87e273385a0f1f6d3035623d6b9e80f77cb6591ce5f95d7102c341b
SPK_001__diesel_idle_apc__+10dB,TRAIN,SPK_001,diesel_idle_apc,STATIONARY,STANDARDIZED_SIMULATION,10.0,10.0,0.0,0,0.0,3.0,0.094263,0.028285,mixed\TRAIN\SPK_001__diesel_idle_apc__+10dB__primary.wav,mixed\TRAIN\SPK_001__diesel_idle_apc__+10dB__reference.wav,clean\SPK_001_clean.wav,7a11029a32365efe6017643bdf588c13f94152b19992edfb75e2fbe4e105f71c
SPK_001__generator_hum_50hz__+15dB,TRAIN,SPK_001,generator_hum_50hz,STATIONARY,STANDARDIZED_SIMULATION,15.0,15.0,0.0,0,0.0,3.0,0.09111,0.015906,mixed\TRAIN\SPK_001__generator_hum_50hz__+15dB__primary.wav,mixed\TRAIN\SPK_001__generator_hum_50hz__+15dB__reference.wav,clean\SPK_001_clean.wav,7bbc347d4f6585973e3618a60135ff5df36aa8f44f3490d63c09fcb238d47e25
SPK_001__helicopter_rotor_dhruv__+5dB,TRAIN,SPK_001,helicopter_rotor_dhruv,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,0.0,3.0,0.10287,0.050298,mixed\TRAIN\SPK_001__helicopter_rotor_dhruv__+5dB__primary.wav,mixed\TRAIN\SPK_001__helicopter_rotor_dhruv__+5dB__reference.wav,clean\SPK_001_clean.wav,aed6461bfd3ddc8524162385a39786c44fb306c223b659b4a6f47fab118a3ff9
SPK_001__propeller_rotor_an32__+0dB,TRAIN,SPK_001,propeller_rotor_an32,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,0.0,-0.0,0.0,0,0.0,3.0,0.126859,0.089444,mixed\TRAIN\SPK_001__propeller_rotor_an32__+0dB__primary.wav,mixed\TRAIN\SPK_001__propeller_rotor_an32__+0dB__reference.wav,clean\SPK_001_clean.wav,3d3fd08864ca9f0c4bad6c18c727030eb53bf61eb7c4bccd3ee74ca1826edb21
SPK_001__vehicle_acceleration_track__-5dB,TRAIN,SPK_001,vehicle_acceleration_track,NON_STATIONARY,STANDARDIZED_SIMULATION,-5.0,-5.0,0.0,0,0.0,3.0,0.183789,0.159056,mixed\TRAIN\SPK_001__vehicle_acceleration_track__-5dB__primary.wav,mixed\TRAIN\SPK_001__vehicle_acceleration_track__-5dB__reference.wav,clean\SPK_001_clean.wav,6b5937fe90cf4687ec106587368c47f4ee6430afdcded3f56029c59bc944de3e
SPK_001__tactical_siren_sweep__+15dB,TRAIN,SPK_001,tactical_siren_sweep,NON_STATIONARY,STANDARDIZED_SIMULATION,15.0,15.0,0.0,0,0.0,3.0,0.090938,0.015906,mixed\TRAIN\SPK_001__tactical_siren_sweep__+15dB__primary.wav,mixed\TRAIN\SPK_001__tactical_siren_sweep__+15dB__reference.wav,clean\SPK_001_clean.wav,b9516f7ed8ed31703f50a85ffa9418b3f696593d5973e648276543672e9e98d3
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,tank_engine_heldout_rec,STATIONARY,STANDARDIZED_SIMULATION,0.0,-0.0,0.15,0,0.0,3.0,0.127554,0.090668,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_001__tank_engine_heldout_rec__+0dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_001__tank_engine_heldout_rec__+0dB__reference.wav,clean\SPK_001_clean.wav,39f7bd21a3d1b0bc4d9ac72bd21c9195ae8d62192d7cf23bf1ffd6b55579d87a
SPK_001__helicopter_rotor_heldout_rec__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,helicopter_rotor_heldout_rec,PERIODIC_ROTOR,STANDARDIZED_SIMULATION,10.0,10.0,0.15,0,0.0,3.0,0.093966,0.031376,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_001__helicopter_rotor_heldout_rec__+10dB__primary.wav,mixed\TEST_B_UNSEEN_NOISE_REC\SPK_001__helicopter_rotor_heldout_rec__+10dB__reference.wav,clean\SPK_001_clean.wav,56ff456a43d27a7b15c195c2f75b9222f603fc5441a2a12fbb1cc04abf2ad8fd
SPK_001__gunfire_transient_insas__+5dB,TEST_C_UNSEEN_NOISE_CATEGORY,SPK_001,gunfire_transient_insas,IMPULSIVE_DEFENCE,STANDARDIZED_SIMULATION,5.0,5.0,0.0,0,0.0,3.0,0.102494,0.050298,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_001__gunfire_transient_insas__+5dB__primary.wav,mixed\TEST_C_UNSEEN_NOISE_CATEGORY\SPK_001__gunfire_transient_insas__+5dB__reference.wav,clean\SPK_001_clean.wav,dd5c061db16719a510370ccbf1bbc38d8683e499498d4e9f86e6b060725009ab
