sample_id,split,speaker_id,noise_id,noise_category,provenance,target_snr_db,actual_snr_db,speech_leakage_ratio,delay_samples,gain_mismatch_db,duration_sec,primary_rms,reference_rms,primary_path,reference_path,clean_path,sha256_hash,seed,impulse_positions_samples,noise_class_index
SPK_001__drone_uav_multicopter__-5dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,-5.0,-2.97,0.15,2,-1.0,3.0,0.142663,0.112228,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__-5dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__-5dB__reference.wav,clean/SPK_001_clean.wav,4b6ef90923245d64835c72e196d66fa15301e6b261b145c5eca422e9b13847ec,376980,,1
SPK_001__drone_uav_multicopter__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,0.0,0.00,0.15,0,0.0,3.0,0.126233,0.063745,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__+0dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__+0dB__reference.wav,clean/SPK_001_clean.wav,ce6e17d881cf243f022e61977b80644e55470c80c1a0455b6878c7956ba709b8,650896,,1
SPK_001__drone_uav_multicopter__+5dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,5.0,5.81,0.15,0,-1.0,3.0,0.091673,0.037832,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__+5dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__+5dB__reference.wav,clean/SPK_001_clean.wav,8ec7ea17d0f3cc049eafacbc53f129f5a216498d314d96bcb82fb93c641aff53,23149,,1
SPK_001__drone_uav_multicopter__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,10.0,10.00,0.15,0,0.0,3.0,0.093873,0.023799,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__+10dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_001__drone_uav_multicopter__+10dB__reference.wav,clean/SPK_001_clean.wav,afa781e742248ccd14ea1ba1c5421d98cf0ef85cf58fffaa74862b4f437fe3b8,798369,,1
SPK_002__drone_uav_multicopter__-5dB,TEST_B_UNSEEN_NOISE_REC,SPK_002,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,-5.0,-4.54,0.15,0,0.0,3.0,0.192059,0.124618,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__-5dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__-5dB__reference.wav,clean/SPK_002_clean.wav,66116cd3b931be6ef677042b17036594716e9987bcbfc7e31a4e668365f1ab78,723735,,1
SPK_002__drone_uav_multicopter__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_002,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,0.0,-0.00,0.15,2,0.0,3.0,0.140432,0.071184,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__+0dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__+0dB__reference.wav,clean/SPK_002_clean.wav,66e2df180c842b55434161240a595ad3124b249c5ecd25a63e60933f6a5bf0dc,482359,,1
SPK_002__drone_uav_multicopter__+5dB,TEST_B_UNSEEN_NOISE_REC,SPK_002,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,5.0,5.00,0.15,0,0.0,3.0,0.113766,0.041898,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__+5dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__+5dB__reference.wav,clean/SPK_002_clean.wav,c73d199653fe468e3f0a08d046de4177679f703023443667f205a6f37dcf0658,76760,,1
SPK_002__drone_uav_multicopter__+10dB,TEST_B_UNSEEN_NOISE_REC,SPK_002,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,10.0,10.39,0.15,2,-1.0,3.0,0.092850,0.026037,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__+10dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_002__drone_uav_multicopter__+10dB__reference.wav,clean/SPK_002_clean.wav,3faad9c265d98a2e914a4798b4b21fba1a973b99b19faa0ed4f717778b55fdcc,698523,,1
SPK_003__drone_uav_multicopter__-5dB,TEST_B_UNSEEN_NOISE_REC,SPK_003,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,-5.0,-4.75,0.15,0,0.0,3.0,0.208186,0.131466,mixed/TEST_B_EXTENSION/SPK_003__drone_uav_multicopter__-5dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_003__drone_uav_multicopter__-5dB__reference.wav,clean/SPK_003_clean.wav,eba3286a2d11bfdc73c36f4d007196ba5bd97d3b612055c10c9170e02e3a2dc0,238778,,1
SPK_003__drone_uav_multicopter__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_003,drone_uav_multicopter,NON_STATIONARY,PROCEDURAL / SYNTHETIC DEFENCE-NOISE,0.0,0.04,0.15,2,0.0,3.0,0.147916,0.075283,mixed/TEST_B_EXTENSION/SPK_003__drone_uav_multicopter__+0dB__primary.wav,mixed/TEST_B_EXTENSION/SPK_003__drone_uav_multicopter__+0dB__reference.wav,clean/SPK_003_clean.wav,64c58b5b6e3c633c28b9ecd0520f71c3df5e19107626e6cb12f5ba35244e7908,923947,,1
