snr_condition_db,topology,snr_db,delta_snr_db,si_sdr_db,stoi,pesq_wb,speech_loss_db,compute_time_ms
0,Noisy,0.8,0.8,0.58,0.7901,1.066,0.0,0.14
0,NLMS,4.15,4.15,3.98,0.8209,1.065,0.0,1226.59
0,AI,2.14,2.14,0.98,0.696,1.114,0.35,64.88
0,NLMS_then_AI,5.83,5.83,5.02,0.6921,1.143,0.35,1441.38
0,AI_then_NLMS,4.29,4.29,3.21,0.7167,1.136,0.35,1321.64
5,Noisy,5.8,0.8,5.68,0.8545,1.133,0.0,0.03
5,NLMS,9.06,4.06,8.97,0.8857,1.156,0.0,1255.88
5,AI,7.33,2.33,6.75,0.7429,1.328,0.35,41.89
5,NLMS_then_AI,10.14,5.14,9.74,0.8146,1.464,0.35,1507.53
5,AI_then_NLMS,8.99,3.99,8.49,0.7508,1.384,0.35,1722.76
10,Noisy,10.8,0.8,10.73,0.9045,1.292,0.0,0.02
10,NLMS,13.9,3.9,13.84,0.9318,1.361,0.0,1236.46
10,AI,11.55,1.55,11.24,0.8365,1.605,0.35,40.67
10,NLMS_then_AI,13.63,3.63,13.46,0.9154,1.886,0.35,1298.28
10,AI_then_NLMS,12.71,2.71,12.47,0.8609,1.742,0.35,1474.63
