sample_id,split,speaker_id,noise_category,noise_source,provenance,system_config,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,processing_time_ms,rtf,cpu_percent,ram_mb
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,5.0,5.0,0.0,5.02,0.824,1.03,0.33,0.0001,15.0,251.5
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,5.0,1.11,-3.89,-1.33,0.7,1.05,42.53,0.0142,15.0,259.2
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,5.0,1.15,-3.85,-2.16,0.698,1.05,39.04,0.013,15.0,258.9
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,5.0,2.86,-2.14,-0.2,0.865,1.06,3721.48,1.2405,15.0,259.0
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,5.0,9.81,4.81,9.34,0.865,1.03,5528.77,1.8429,15.0,259.0
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,5.0,5.0,0.0,5.17,0.826,1.03,3212.62,1.0709,15.0,281.2
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,5.0,1.79,-3.21,-0.24,0.866,1.06,3457.71,1.1526,15.0,284.7
SPK_009__tank_engine_t90__+5dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,tank_engine_t90,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,5.0,4.97,-0.03,9.67,0.866,1.03,8392.6,2.7975,15.0,282.8
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,10.0,10.0,0.0,10.01,0.881,1.05,0.07,0.0,15.0,282.8
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,10.0,1.18,-8.82,-1.2,0.754,1.08,28.83,0.0096,15.0,284.6
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,10.0,1.23,-8.77,-1.99,0.747,1.08,35.11,0.0117,15.0,282.4
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,10.0,1.72,-8.28,-3.09,0.839,1.05,3457.94,1.1526,15.0,285.3
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_4_VSS_NLMS_ONLY,10.0,11.86,1.86,12.62,0.92,1.05,5445.41,1.8151,15.0,283.4
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_5_AI_ONLY,10.0,5.83,-4.17,10.23,0.882,1.06,3109.91,1.0366,15.0,284.0
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_6_HYBRID_NLMS_AI,10.0,1.13,-8.87,-3.14,0.84,1.05,3684.08,1.228,15.0,283.0
SPK_009__diesel_idle_apc__+10dB,TEST_A_UNSEEN_SPEAKER,SPK_009,STATIONARY,diesel_idle_apc,STANDARDIZED_SIMULATION,CONFIG_7_HYBRID_PROTECTED,10.0,4.68,-5.32,12.99,0.921,1.06,7621.01,2.5403,15.0,284.2
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_0_NOISY,-0.0,0.0,0.0,0.15,0.83,1.03,0.08,0.0,15.0,281.3
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_1_SPECTRAL_SUB,-0.0,1.58,1.58,-0.6,0.709,1.04,33.89,0.0113,15.0,284.9
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_2_WIENER,-0.0,1.56,1.56,-1.95,0.719,1.05,41.16,0.0137,15.0,284.9
SPK_001__tank_engine_heldout_rec__+0dB,TEST_B_UNSEEN_NOISE_REC,SPK_001,STATIONARY,tank_engine_heldout_rec,STANDARDIZED_SIMULATION,CONFIG_3_NLMS_ONLY,-0.0,4.56,4.56,2.91,0.85,1.06,3580.35,1.1934,15.0,284.6
