run_id,alpha_leakage,mode,g_leak,delta_snr_db,delta_sisdr_db,stoi,speech_distortion_db,is_degraded
1,0.0,Unprotected_NLMS,1.0,3.325,3.438,0.7744,-4.13,False
2,0.0,Protected_VSS_NLMS,1.0,3.325,3.438,0.7744,-4.13,False
3,0.0,Hybrid_Chain,1.0,6.216,5.968,0.7422,-7.02,False
4,0.01,Unprotected_NLMS,1.0,3.336,3.432,0.774,-4.14,False
5,0.01,Protected_VSS_NLMS,1.0,3.336,3.432,0.774,-4.14,False
6,0.01,Hybrid_Chain,1.0,6.232,5.971,0.7424,-7.03,False
7,0.03,Unprotected_NLMS,1.0,3.356,3.415,0.7733,-4.16,False
8,0.03,Protected_VSS_NLMS,1.0,3.356,3.415,0.7733,-4.16,False
9,0.03,Hybrid_Chain,1.0,6.26,5.976,0.7429,-7.06,False
10,0.05,Unprotected_NLMS,1.0,3.375,3.396,0.7726,-4.18,False
11,0.05,Protected_VSS_NLMS,1.0,3.375,3.396,0.7726,-4.18,False
12,0.05,Hybrid_Chain,1.0,6.283,5.974,0.7433,-7.09,False
13,0.08,Unprotected_NLMS,1.0,3.398,3.359,0.7715,-4.2,False
14,0.08,Protected_VSS_NLMS,1.0,3.398,3.359,0.7715,-4.2,False
15,0.08,Hybrid_Chain,1.0,5.737,5.328,0.7284,-6.54,False
16,0.1,Unprotected_NLMS,1.0,3.411,3.329,0.7708,-4.21,False
17,0.1,Protected_VSS_NLMS,1.0,3.411,3.329,0.7708,-4.21,False
18,0.1,Hybrid_Chain,1.0,5.744,5.308,0.7283,-6.55,False
19,0.15,Unprotected_NLMS,1.0,3.432,3.237,0.7688,-4.23,False
20,0.15,Protected_VSS_NLMS,1.0,3.432,3.237,0.7688,-4.23,False
21,0.15,Hybrid_Chain,1.0,5.741,5.235,0.728,-6.54,False
22,0.2,Unprotected_NLMS,1.0,3.435,3.12,0.7668,-4.24,False
23,0.2,Protected_VSS_NLMS,1.0,3.435,3.12,0.7668,-4.24,False
24,0.2,Hybrid_Chain,1.0,5.707,5.13,0.7274,-6.51,False
25,0.25,Unprotected_NLMS,1.0,3.42,2.981,0.7646,-4.22,False
26,0.25,Protected_VSS_NLMS,1.0,3.42,2.981,0.7646,-4.22,False
27,0.25,Hybrid_Chain,1.0,5.642,4.995,0.7264,-6.45,False
28,0.3,Unprotected_NLMS,1.0,3.388,2.824,0.7623,-4.19,False
29,0.3,Protected_VSS_NLMS,1.0,3.388,2.824,0.7623,-4.19,False
30,0.3,Hybrid_Chain,1.0,5.55,4.835,0.725,-6.35,False
31,0.4,Unprotected_NLMS,1.0,3.28,2.471,0.7575,-4.08,False
32,0.4,Protected_VSS_NLMS,1.0,3.28,2.471,0.7575,-4.08,False
33,0.4,Hybrid_Chain,1.0,5.3,4.458,0.7212,-6.1,False
34,0.5,Unprotected_NLMS,1.0,3.13,2.086,0.7524,-3.93,False
35,0.5,Protected_VSS_NLMS,1.0,3.13,2.086,0.7524,-3.93,False
36,0.5,Hybrid_Chain,1.0,4.991,4.027,0.7164,-5.79,False
