path,norm_mode,si_sdr_db,snr_out_db,delta_snr_db,stoi,pesq_wb
A_HybridPipeline,RAW,15.13,15.21,15.21,0.3975,1.0461
A_HybridPipeline,INDEPENDENT_PEAK_NORM,15.13,13.12,10.11,0.3975,1.0461
A_HybridPipeline,JOINT_PEAK_NORM,15.13,15.21,15.21,0.3975,1.0461
B_CausalEngine,RAW,-36.98,-0.01,-0.01,-0.2693,1.0348
B_CausalEngine,INDEPENDENT_PEAK_NORM,-36.98,-1.07,-4.08,-0.2693,1.0348
B_CausalEngine,JOINT_PEAK_NORM,-36.98,-0.01,-0.01,-0.2693,1.0348
C_AblationBaseline,RAW,-40.31,-0.01,-0.01,-0.3004,1.0348
C_AblationBaseline,INDEPENDENT_PEAK_NORM,-40.31,-1.02,-4.03,-0.3004,1.0348
C_AblationBaseline,JOINT_PEAK_NORM,-40.31,-0.01,-0.01,-0.3004,1.0348
D_NLMS_Only,RAW,4.67,4.67,4.67,0.3298,1.0164
D_NLMS_Only,INDEPENDENT_PEAK_NORM,4.67,5.66,2.65,0.3298,1.0164
D_NLMS_Only,JOINT_PEAK_NORM,4.67,4.67,4.67,0.3298,1.0164
