hop_index,total_ms,dsp_ms,ai_ms,regime_ms
100,5.49,0.454,2.432,1.454
101,3.641,0.426,2.189,0.837
102,3.588,0.425,2.184,0.804
103,3.587,0.459,2.241,0.701
104,3.999,0.484,2.267,0.926
105,3.502,0.422,2.202,0.701
106,3.455,0.412,2.14,0.735
107,3.476,0.415,2.154,0.736
108,4.596,0.578,3.133,0.699
109,4.745,0.605,2.703,1.132
110,4.635,0.602,2.744,1.015
111,5.258,0.593,3.347,1.026
112,3.659,0.439,2.212,0.815
113,3.701,0.492,2.316,0.714
114,3.613,0.466,2.233,0.732
115,4.806,0.425,3.484,0.707
116,4.514,0.582,2.611,1.062
117,4.504,0.577,2.646,0.993
118,4.466,0.62,2.614,0.976
119,4.718,0.603,2.764,1.074
120,4.651,0.584,2.759,1.061
121,4.567,0.621,2.682,1.005
122,5.757,0.622,3.833,1.036
123,4.404,0.612,2.478,1.077
124,3.56,0.43,2.114,0.8
125,4.293,0.435,2.916,0.75
126,4.666,0.591,2.704,1.098
127,4.491,0.59,2.62,0.998
128,4.593,0.646,2.719,0.983
129,5.269,0.441,2.304,2.278
130,3.549,0.445,2.204,0.717
131,3.39,0.418,2.078,0.725
132,3.43,0.42,2.107,0.732
133,3.889,0.535,2.293,0.884
134,3.545,0.426,2.223,0.717
135,3.444,0.419,2.142,0.706
136,3.53,0.426,2.179,0.749
137,5.018,0.466,3.591,0.766
138,4.813,0.643,2.815,1.082
139,4.524,0.589,2.659,1.029
140,5.453,0.581,3.529,1.074
141,5.337,0.663,3.053,1.319
142,4.855,0.645,2.852,1.084
143,6.369,0.654,4.191,1.233
144,5.176,0.654,3.046,1.19
145,4.898,0.642,2.842,1.138
146,5.212,0.617,3.175,1.114
147,3.674,0.438,2.259,0.792
148,3.53,0.46,2.197,0.701
149,3.56,0.422,2.244,0.718
150,4.443,0.421,3.116,0.722
151,3.69,0.476,2.238,0.783
152,3.548,0.429,2.226,0.717
153,3.613,0.432,2.201,0.764
154,4.171,0.422,2.812,0.758
155,3.637,0.433,2.225,0.79
156,3.602,0.43,2.219,0.776
157,3.558,0.465,2.189,0.724
158,3.726,0.427,2.397,0.719
159,3.819,0.429,2.255,0.878
160,3.636,0.453,2.296,0.712
161,3.564,0.423,2.206,0.759
162,3.515,0.421,2.18,0.742
163,3.995,0.477,2.211,1.134
164,3.365,0.456,2.037,0.7
165,3.366,0.422,2.065,0.705
166,3.379,0.426,2.032,0.749
167,5.11,0.464,3.759,0.699
168,5.267,0.648,3.254,1.086
169,5.102,0.541,3.119,1.126
170,5.317,0.64,3.33,1.072
171,4.687,0.645,2.667,1.099
172,4.592,0.588,2.697,1.051
173,5.335,0.583,3.441,1.011
174,4.572,0.622,2.653,1.034
175,4.562,0.595,2.667,1.041
176,4.55,0.586,2.663,1.046
177,4.25,0.435,2.45,1.074
178,3.46,0.422,2.144,0.714
179,3.418,0.42,2.085,0.737
180,3.36,0.455,2.03,0.701
181,4.337,0.624,2.838,0.691
182,4.535,0.588,2.633,1.054
183,4.427,0.585,2.582,1.012
184,5.37,0.579,3.539,0.969
185,4.725,0.658,2.719,1.078
186,4.533,0.58,2.641,1.061
187,4.485,0.575,2.63,1.038
188,4.357,0.472,2.295,1.346
189,3.536,0.422,2.22,0.716
190,3.497,0.421,2.201,0.706
191,3.497,0.42,2.164,0.743
192,4.544,0.591,2.708,1.073
193,3.491,0.429,2.099,0.739
194,3.359,0.415,2.054,0.723
195,3.38,0.414,2.122,0.681
196,4.647,0.413,3.379,0.676
197,4.558,0.637,2.62,1.037
198,4.456,0.579,2.602,1.031
199,5.377,0.58,3.545,1.02
200,3.722,0.45,2.25,0.802
201,3.472,0.422,2.177,0.702
202,3.531,0.419,2.15,0.792
203,4.556,0.461,3.211,0.699
204,4.743,0.599,2.717,1.103
205,4.518,0.62,2.691,0.964
206,4.513,0.581,2.633,1.047
207,4.346,0.601,2.353,1.154
208,3.725,0.427,2.34,0.775
209,3.509,0.422,2.152,0.721
210,3.502,0.452,2.156,0.727
211,4.365,0.633,2.841,0.706
212,4.524,0.58,2.618,1.069
213,4.523,0.585,2.664,0.981
214,5.373,0.632,3.483,1.002
215,3.996,0.446,2.29,1.007
216,3.981,0.427,2.481,0.855
217,3.953,0.423,2.581,0.724
218,4.806,0.613,2.871,1.033
219,3.834,0.537,2.377,0.731
220,3.608,0.429,2.253,0.738
221,3.605,0.425,2.292,0.71
222,4.293,0.66,2.695,0.725
223,3.484,0.471,2.091,0.736
224,3.408,0.419,2.118,0.698
225,4.455,0.609,2.896,0.731
226,4.681,0.661,2.696,1.068
227,3.587,0.429,2.231,0.749
228,3.629,0.471,2.235,0.744
229,4.021,0.432,2.617,0.737
230,3.988,0.502,2.577,0.725
231,3.636,0.429,2.265,0.728
232,4.018,0.448,2.403,0.982
233,3.64,0.433,2.255,0.775
234,4.832,0.499,3.263,0.886
235,4.457,0.437,3.068,0.748
236,4.896,0.61,2.865,1.096
237,5.839,0.626,3.833,1.105
238,5.479,0.627,3.417,1.15
239,5.516,0.642,3.306,1.248
240,4.484,0.622,2.481,1.114
241,3.42,0.426,2.087,0.724
242,3.358,0.417,2.036,0.737
243,3.465,0.46,2.122,0.711
244,4.0,0.425,2.7,0.701
245,3.646,0.431,2.249,0.781
246,3.5,0.427,2.162,0.731
247,3.382,0.421,2.039,0.748
248,3.751,0.461,2.405,0.699
249,4.503,0.598,2.338,1.311
250,3.512,0.423,2.166,0.746
251,3.457,0.452,2.149,0.693
