ai_backend,system_config,mean_stoi,mean_pesq,mean_si_sdr_db,mean_delta_snr_db,mean_rtf,p95_latency_ms,model_params,pareto_optimal
none,CONFIG_4_VSS_NLMS_ONLY,0.8958,1.32,11.2,5.12,1.4393,5242.4,0,True
TinyEnhancer_V3,HYBRID_PROTECTED_TinyEnhancer_V3,0.8958,1.49,13.22,7.02,1.9535,6537.0,9569,False
CRN_Micro,HYBRID_PROTECTED_CRN_Micro,0.8842,2.13,12.29,6.1,2.044,7117.8,986457,False
none,CONFIG_0_NOISY,0.8727,1.29,6.28,0.4,0.0,0.2,0,True
CRN_Micro,HYBRID_VANILLA_CRN_Micro,0.8142,1.61,3.74,-0.29,1.0321,3911.5,986457,False
TinyEnhancer_V3,HYBRID_VANILLA_TinyEnhancer_V3,0.7895,1.32,4.13,0.48,0.8892,2867.8,9569,False
none,CONFIG_1_SPECTRAL_SUB,0.7292,1.09,-3.18,-5.08,0.0102,41.6,0,False
none,CONFIG_2_WIENER,0.7225,1.11,-3.86,-5.04,0.0118,51.6,0,False
DTLN,HYBRID_PROTECTED_DTLN,0.6014,1.03,-41.48,-5.86,2.0921,7374.5,989315,False
DTLN,HYBRID_VANILLA_DTLN,0.5933,1.02,-46.38,-5.85,0.9725,3486.5,989315,False
