sample_id,noise_category,noise_source,predicted_regime,kurtosis,spectral_flatness,energy_db,regime_distribution
SPK_009__tank_engine_t90__+5dB,STATIONARY,tank_engine_t90,DIFFUSE,DIFFUSE,"{'STATIONARY': 0.16129032258064516, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.8387096774193549, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.16129032258064516, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.8387096774193549, 'SPEECH_ONLY': 0.0}"
SPK_009__diesel_idle_apc__+10dB,STATIONARY,diesel_idle_apc,DIFFUSE,DIFFUSE,"{'STATIONARY': 0.44086021505376344, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.5591397849462365, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.44086021505376344, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.5591397849462365, 'SPEECH_ONLY': 0.0}"
SPK_009__generator_hum_50hz__+15dB,STATIONARY,generator_hum_50hz,STATIONARY,STATIONARY,"{'STATIONARY': 0.6021505376344086, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3978494623655914, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.6021505376344086, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3978494623655914, 'SPEECH_ONLY': 0.0}"
SPK_001__tank_engine_heldout_rec__+0dB,STATIONARY,tank_engine_heldout_rec,DIFFUSE,DIFFUSE,"{'STATIONARY': 0.0967741935483871, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.9032258064516129, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.0967741935483871, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.9032258064516129, 'SPEECH_ONLY': 0.0}"
SPK_001__helicopter_rotor_heldout_rec__+10dB,PERIODIC_ROTOR,helicopter_rotor_heldout_rec,STATIONARY,STATIONARY,"{'STATIONARY': 0.8602150537634409, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.13978494623655913, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.8602150537634409, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.13978494623655913, 'SPEECH_ONLY': 0.0}"
SPK_002__tank_engine_heldout_rec__-5dB,STATIONARY,tank_engine_heldout_rec,DIFFUSE,DIFFUSE,"{'STATIONARY': 0.08602150537634409, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.9139784946236559, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.08602150537634409, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.9139784946236559, 'SPEECH_ONLY': 0.0}"
SPK_001__gunfire_transient_insas__+5dB,IMPULSIVE_DEFENCE,gunfire_transient_insas,STATIONARY,STATIONARY,"{'STATIONARY': 0.7311827956989247, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.26881720430107525, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.7311827956989247, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.26881720430107525, 'SPEECH_ONLY': 0.0}"
SPK_001__artillery_blast_dhanush__+10dB,IMPULSIVE_DEFENCE,artillery_blast_dhanush,STATIONARY,STATIONARY,"{'STATIONARY': 0.6989247311827957, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3010752688172043, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.6989247311827957, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3010752688172043, 'SPEECH_ONLY': 0.0}"
SPK_002__gunfire_transient_insas__-10dB,IMPULSIVE_DEFENCE,gunfire_transient_insas,STATIONARY,STATIONARY,"{'STATIONARY': 0.45161290322580644, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3763440860215054, 'SPEECH_ONLY': 0.17204301075268819}",,"{'STATIONARY': 0.45161290322580644, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3763440860215054, 'SPEECH_ONLY': 0.17204301075268819}"
SPK_001__tank_engine_t90__+5dB,STATIONARY,tank_engine_t90,DIFFUSE,DIFFUSE,"{'STATIONARY': 0.17204301075268819, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.8279569892473119, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.17204301075268819, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.8279569892473119, 'SPEECH_ONLY': 0.0}"
SPK_001__diesel_idle_apc__+10dB,STATIONARY,diesel_idle_apc,STATIONARY,STATIONARY,"{'STATIONARY': 0.5161290322580645, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.4838709677419355, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.5161290322580645, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.4838709677419355, 'SPEECH_ONLY': 0.0}"
SPK_001__generator_hum_50hz__+15dB,STATIONARY,generator_hum_50hz,STATIONARY,STATIONARY,"{'STATIONARY': 0.6774193548387096, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3225806451612903, 'SPEECH_ONLY': 0.0}",,"{'STATIONARY': 0.6774193548387096, 'IMPULSIVE': 0.0, 'DIFFUSE': 0.3225806451612903, 'SPEECH_ONLY': 0.0}"
