sample_id,noise_category,scenario,system_config,delta_snr_db,si_sdr_db,stoi,pesq,nlms_better_than_ai_only
SPK_001__tank_engine_t90__+5dB,STATIONARY,MATCHED_REFERENCE,AI_ONLY,-0.74,4.5,0.871,1.03,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,-0.19,8.98,0.898,1.04,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,4.96,10.03,0.899,1.04,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,SPEECH_LEAKAGE,AI_ONLY,-0.74,4.5,0.871,1.03,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,-1.49,6.52,0.904,1.03,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,2.75,7.13,0.904,1.04,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,-3.26,-0.43,0.774,1.03,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-0.6,5.37,0.832,1.04,True
SPK_001__tank_engine_t90__+5dB,STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,-5.52,-0.46,0.799,1.04,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,MATCHED_REFERENCE,AI_ONLY,-5.19,9.12,0.91,1.05,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,MATCHED_REFERENCE,HYBRID_PROTECTED,-4.99,13.48,0.939,1.08,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,MATCHED_REFERENCE,NLMS_ONLY,4.97,15.0,0.94,1.09,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,SPEECH_LEAKAGE,AI_ONLY,-5.19,9.12,0.91,1.05,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,SPEECH_LEAKAGE,HYBRID_PROTECTED,-6.65,8.84,0.945,1.05,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,SPEECH_LEAKAGE,NLMS_ONLY,-1.45,9.43,0.945,1.05,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,IMPULSIVE_SPIKE,AI_ONLY,-8.22,0.47,0.806,1.05,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,IMPULSIVE_SPIKE,HYBRID_PROTECTED,-5.33,7.7,0.861,1.07,True
SPK_001__diesel_idle_apc__+10dB,STATIONARY,IMPULSIVE_SPIKE,NLMS_ONLY,-10.37,-0.35,0.823,1.06,True
