run_id,mu_max,filter_length,delay_samples,delta_snr_db,delta_sisdr_db,stoi,speech_distortion_db,convergence_time_ms,residual_noise_power,max_coefficient,is_stable,compute_time_ms,is_pareto
1,0.01,32,0,2.594,2.676,0.7649,-3.4,0.0,0.001,0.1202,True,1111.88,False
2,0.01,32,1,2.082,2.146,0.7538,-2.88,0.0,0.001196,0.1097,True,1123.66,False
3,0.01,32,2,1.709,1.755,0.7456,-2.51,0.0,0.001355,0.0964,True,1147.35,False
4,0.01,32,4,1.274,1.283,0.7351,-2.08,0.0,0.001553,0.0712,True,1141.82,False
5,0.01,32,8,0.929,0.897,0.7401,-1.73,0.0,0.001712,0.0523,True,1158.34,False
6,0.01,32,16,0.583,0.54,0.7429,-1.39,0.0,0.001865,0.0473,True,1139.33,False
7,0.01,64,0,2.088,2.133,0.7595,-2.89,0.0,0.00119,0.0711,True,1109.38,False
8,0.01,64,1,1.763,1.797,0.752,-2.57,0.0,0.001325,0.0659,True,967.22,False
9,0.01,64,2,1.51,1.533,0.7463,-2.31,0.0,0.001435,0.0595,True,874.12,False
10,0.01,64,4,1.182,1.183,0.7389,-1.98,0.0,0.001577,0.0466,True,829.81,False
11,0.01,64,8,0.893,0.872,0.7432,-1.7,0.0,0.00169,0.0325,True,720.54,False
12,0.01,64,16,0.751,0.744,0.7447,-1.55,0.0,0.001725,0.0255,True,646.49,False
13,0.01,128,0,2.116,2.143,0.7516,-2.92,0.0,0.001166,0.0406,True,819.44,False
14,0.01,128,1,1.938,1.96,0.7474,-2.74,0.0,0.001234,0.0379,True,1074.15,False
15,0.01,128,2,1.8,1.817,0.7441,-2.6,0.0,0.001285,0.0346,True,878.71,False
16,0.01,128,4,1.629,1.634,0.739,-2.43,0.0,0.001344,0.0264,True,635.72,False
17,0.01,128,8,1.53,1.523,0.7393,-2.33,0.0,0.001361,0.0137,True,714.38,False
18,0.01,128,16,1.557,1.551,0.7387,-2.36,0.0,0.001334,0.0127,True,850.81,False
19,0.01,256,0,2.061,2.1,0.7473,-2.86,0.0,0.001193,0.0284,True,952.41,False
20,0.01,256,1,1.922,1.956,0.7443,-2.73,0.0,0.001236,0.0273,True,1123.44,False
21,0.01,256,2,1.808,1.836,0.7421,-2.61,0.0,0.001269,0.0257,True,908.58,False
22,0.01,256,4,1.653,1.666,0.7387,-2.46,0.0,0.001309,0.02,True,920.33,False
23,0.01,256,8,1.546,1.54,0.7401,-2.35,0.0,0.00132,0.0086,True,939.0,False
