clip,noise_type,target_snr_db,variant,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,stoi_source,pesq_source
SPK_009_clean,hum,-5,NOISY,-4.92,0.0,-5.0,0.918,1.16,STOI,PESQ
SPK_009_clean,hum,-5,NLMS_ONLY,8.36,13.28,8.18,0.915,1.46,STOI,PESQ
SPK_009_clean,hum,-5,FULL,-1.87,3.05,-17.6,0.841,1.52,STOI,PESQ
SPK_009_clean,hum,0,NOISY,0.0,0.0,0.0,0.933,1.31,STOI,PESQ
SPK_009_clean,hum,0,NLMS_ONLY,11.13,11.13,11.0,0.93,1.61,STOI,PESQ
SPK_009_clean,hum,0,FULL,-1.83,-1.83,-17.25,0.854,1.71,STOI,PESQ
SPK_009_clean,hum,5,NOISY,5.0,-0.0,5.0,0.949,1.51,STOI,PESQ
SPK_009_clean,hum,5,NLMS_ONLY,13.22,8.22,13.09,0.946,1.85,STOI,PESQ
SPK_009_clean,hum,5,FULL,-1.8,-6.8,-17.01,0.865,1.89,STOI,PESQ
SPK_009_clean,hum,10,NOISY,10.0,-0.0,10.0,0.966,1.8,STOI,PESQ
SPK_009_clean,hum,10,NLMS_ONLY,14.4,4.4,14.27,0.96,2.08,STOI,PESQ
SPK_009_clean,hum,10,FULL,-1.79,-11.79,-16.97,0.872,2.06,STOI,PESQ
SPK_009_clean,hum,15,NOISY,15.0,-0.0,15.0,0.982,2.14,STOI,PESQ
SPK_009_clean,hum,15,NLMS_ONLY,14.86,-0.14,14.74,0.97,2.23,STOI,PESQ
SPK_009_clean,hum,15,FULL,-1.79,-16.79,-16.94,0.873,2.13,STOI,PESQ
SPK_009_clean,hum,20,NOISY,20.0,0.0,20.0,0.991,2.7,STOI,PESQ
SPK_009_clean,hum,20,NLMS_ONLY,15.01,-4.99,14.89,0.976,2.35,STOI,PESQ
SPK_009_clean,hum,20,FULL,-1.79,-21.79,-16.92,0.875,2.16,STOI,PESQ
SPK_009_clean,pink,-5,NOISY,-3.96,-0.0,-4.95,0.684,1.02,STOI,PESQ
SPK_009_clean,pink,-5,NLMS_ONLY,0.64,4.6,-0.41,0.683,1.02,STOI,PESQ
SPK_009_clean,pink,-5,FULL,-2.26,1.7,-18.29,0.668,1.02,STOI,PESQ
SPK_009_clean,pink,0,NOISY,0.0,0.0,0.15,0.772,1.03,STOI,PESQ
SPK_009_clean,pink,0,NLMS_ONLY,3.34,3.34,3.35,0.766,1.03,STOI,PESQ
SPK_009_clean,pink,0,FULL,-2.21,-2.21,-17.72,0.759,1.03,STOI,PESQ
SPK_009_clean,pink,5,NOISY,5.0,0.0,5.21,0.85,1.03,STOI,PESQ
SPK_009_clean,pink,5,NLMS_ONLY,8.77,3.77,8.78,0.85,1.03,STOI,PESQ
SPK_009_clean,pink,5,FULL,-2.01,-7.01,-16.01,0.811,1.03,STOI,PESQ
SPK_009_clean,pink,10,NOISY,10.0,0.0,10.38,0.901,1.05,STOI,PESQ
SPK_009_clean,pink,10,NLMS_ONLY,12.79,2.79,12.77,0.896,1.05,STOI,PESQ
SPK_009_clean,pink,10,FULL,-1.93,-11.93,-15.84,0.849,1.07,STOI,PESQ
SPK_009_clean,pink,15,NOISY,15.0,0.0,15.37,0.95,1.23,STOI,PESQ
SPK_009_clean,pink,15,NLMS_ONLY,15.3,0.3,15.31,0.933,1.15,STOI,PESQ
SPK_009_clean,pink,15,FULL,-1.9,-16.9,-15.87,0.872,1.2,STOI,PESQ
SPK_009_clean,pink,20,NOISY,20.0,-0.0,20.06,0.978,1.52,STOI,PESQ
SPK_009_clean,pink,20,NLMS_ONLY,19.56,-0.44,19.56,0.968,1.49,STOI,PESQ
SPK_009_clean,pink,20,FULL,-1.9,-21.9,-15.75,0.885,1.47,STOI,PESQ
SPK_009_clean,white,-5,NOISY,-4.01,0.0,-4.92,0.7,1.02,STOI,PESQ
SPK_009_clean,white,-5,NLMS_ONLY,-4.02,-0.01,-4.92,0.699,1.02,STOI,PESQ
SPK_009_clean,white,-5,FULL,-3.39,0.62,-21.38,0.684,1.02,STOI,PESQ
SPK_009_clean,white,0,NOISY,0.0,-0.0,-0.07,0.789,1.02,STOI,PESQ
SPK_009_clean,white,0,NLMS_ONLY,-0.0,-0.0,-0.07,0.79,1.02,STOI,PESQ
SPK_009_clean,white,0,FULL,-2.61,-2.61,-18.09,0.773,1.02,STOI,PESQ
SPK_009_clean,white,5,NOISY,5.0,0.0,4.97,0.856,1.03,STOI,PESQ
SPK_009_clean,white,5,NLMS_ONLY,4.96,-0.04,4.93,0.854,1.03,STOI,PESQ
SPK_009_clean,white,5,FULL,-2.12,-7.12,-16.59,0.822,1.03,STOI,PESQ
SPK_009_clean,white,10,NOISY,10.0,-0.0,9.98,0.908,1.04,STOI,PESQ
SPK_009_clean,white,10,NLMS_ONLY,9.99,-0.01,9.97,0.908,1.04,STOI,PESQ
SPK_009_clean,white,10,FULL,-1.95,-11.95,-16.02,0.863,1.04,STOI,PESQ
SPK_009_clean,white,15,NOISY,15.0,0.0,15.01,0.944,1.05,STOI,PESQ
SPK_009_clean,white,15,NLMS_ONLY,14.97,-0.03,14.97,0.944,1.05,STOI,PESQ
SPK_009_clean,white,15,FULL,-1.92,-16.92,-15.73,0.884,1.06,STOI,PESQ
SPK_009_clean,white,20,NOISY,20.0,0.0,20.0,0.968,1.16,STOI,PESQ
SPK_009_clean,white,20,NLMS_ONLY,19.95,-0.05,19.96,0.968,1.16,STOI,PESQ
SPK_009_clean,white,20,FULL,-1.89,-21.89,-15.77,0.898,1.19,STOI,PESQ
SPK_009_clean,impulsive,-5,NOISY,1.13,-0.0,-5.25,0.566,1.02,STOI,PESQ
SPK_009_clean,impulsive,-5,NLMS_ONLY,1.2,0.07,-4.97,0.563,1.02,STOI,PESQ
SPK_009_clean,impulsive,-5,FULL,-0.43,-1.56,-22.56,0.557,1.02,STOI,PESQ
SPK_009_clean,impulsive,0,NOISY,3.0,-0.0,0.05,0.685,1.02,STOI,PESQ
SPK_009_clean,impulsive,0,NLMS_ONLY,3.1,0.1,0.3,0.684,1.02,STOI,PESQ
SPK_009_clean,impulsive,0,FULL,-0.8,-3.8,-18.27,0.662,1.03,STOI,PESQ
SPK_009_clean,impulsive,5,NOISY,6.24,0.0,5.07,0.844,1.03,STOI,PESQ
SPK_009_clean,impulsive,5,NLMS_ONLY,6.43,0.19,5.32,0.844,1.03,STOI,PESQ
SPK_009_clean,impulsive,5,FULL,-1.44,-7.68,-16.75,0.797,1.03,STOI,PESQ
SPK_009_clean,impulsive,10,NOISY,10.0,-0.0,10.02,0.879,1.04,STOI,PESQ
SPK_009_clean,impulsive,10,NLMS_ONLY,10.19,0.19,10.2,0.88,1.04,STOI,PESQ
SPK_009_clean,impulsive,10,FULL,-1.99,-11.99,-15.89,0.831,1.04,STOI,PESQ
SPK_009_clean,impulsive,15,NOISY,15.0,0.0,15.01,0.927,1.06,STOI,PESQ
