experiment_id,model,input_mode,is_baseline,split,sample_id,speaker_id,noise_id,noise_category,target_snr_db,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,pesq_error,output_rms,clipping_count,nonfinite_count
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_t90__+5dB,SPK_009,tank_engine_t90,STATIONARY,5.0,5.0,5.0,0.0,5.02,0.8239,1.0301,,0.1042,0,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_t90__+5dB,SPK_009,tank_engine_t90,STATIONARY,5.0,5.0,9.69,4.69,9.19,0.8628,1.0343,,0.086,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_t90__+5dB,SPK_009,tank_engine_t90,STATIONARY,5.0,5.0,7.38,2.38,9.41,0.841,1.0451,,0.0602,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_t90__+5dB,SPK_009,tank_engine_t90,STATIONARY,5.0,5.0,6.61,1.61,11.24,0.8722,1.0787,,0.0525,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_t90__+5dB,SPK_009,tank_engine_t90,STATIONARY,5.0,5.0,10.8,5.8,10.76,0.8598,1.0727,,0.0803,1,0
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__tank_engine_t90__+5dB,SPK_009,tank_engine_t90,STATIONARY,5.0,5.0,12.08,7.08,13.08,0.9023,1.1847,,0.0773,1,0
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,SPK_009__diesel_idle_apc__+10dB,SPK_009,diesel_idle_apc,STATIONARY,10.0,10.0,10.0,0.0,10.01,0.881,1.0536,,0.0952,0,0
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,SPK_009__diesel_idle_apc__+10dB,SPK_009,diesel_idle_apc,STATIONARY,10.0,10.0,12.14,2.14,12.81,0.9203,1.0542,,0.0787,0,0
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__diesel_idle_apc__+10dB,SPK_009,diesel_idle_apc,STATIONARY,10.0,10.0,7.51,-2.49,11.24,0.8848,1.1454,,0.0577,0,0
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,SPK_009__diesel_idle_apc__+10dB,SPK_009,diesel_idle_apc,STATIONARY,10.0,10.0,6.11,-3.89,12.53,0.9157,1.2948,,0.0485,0,0
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,SPK_009__diesel_idle_apc__+10dB,SPK_009,diesel_idle_apc,STATIONARY,10.0,10.0,11.31,1.31,11.82,0.894,1.204,,0.0778,1,0
