experiment_id,model,input_mode,baseline,dataset_split,noise_regime,parameter_count,input_snr_db,output_snr_db,delta_snr_db,si_sdr_db,stoi,pesq,output_rms,clipping_count,nonfinite_count,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_p99_9_ms,latency_max_ms,rtf,checkpoint,checkpoint_sha256,dataset_hash,git_commit
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,ALL,0,0.84,0.84,0.0,0.82,0.7476,1.049,0.1773,705,0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,ALL,64,0.84,6.85,6.01,6.8,0.7622,1.0704,0.117,2,0,0.107,0.17,0.281,0.301,0.304,0.0147,NONE,NONE,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,ALL,9569,0.84,6.46,5.62,7.95,0.7537,1.1481,0.0735,12,0,2.021,4.524,6.065,10.052,10.681,0.2912,E1_tinyenhancer_raw_primary.pt,e8be2573957bfe0927f2de4d1f137b1cc5c5b621ce8e48bbf31b4469a4c40e29,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,ALL,9569,0.84,5.85,5.01,8.92,0.7737,1.2008,0.0665,8,0,1.985,2.705,3.781,4.029,4.031,0.2511,E2_tinyenhancer_nlms_residual.pt,80a92251e5012e357061b45453c2d333bd7424f19408f628cbe95870c6605b7c,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
E3,CRN_Micro,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,ALL,723801,0.84,5.58,4.74,5.17,0.7726,1.1576,0.1145,87,0,7.881,9.764,10.192,11.074,11.217,0.992,E3_crn_raw_primary.pt,57097f65ae9846abd7a2827ab639c2b9747f4aae1fdf1b8fbbbaf79a7184fc99,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
E4,CRN_Micro,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,ALL,723801,0.84,7.42,6.59,7.81,0.8,1.3071,0.1102,58,0,8.657,9.892,11.551,12.264,12.351,1.0358,E4_crn_nlms_residual.pt,3e9b219dbea257676d4deb27695fd8b76b298cbcfb7fa43a3714d4be30f68117,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
B0,NOISY,RAW_PRIMARY,True,TEST_A_UNSEEN_SPEAKER,NON_STATIONARY,0,-1.25,-1.25,0.0,-1.26,0.7363,1.0225,0.1698,39,0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
B1,NLMS_ONLY,NLMS_RESIDUAL,True,TEST_A_UNSEEN_SPEAKER,NON_STATIONARY,64,-1.25,5.75,7.0,5.47,0.7507,1.029,0.1164,0,0,0.107,0.17,0.281,0.301,0.304,0.0147,NONE,NONE,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
E1,TinyEnhancer,RAW_PRIMARY,False,TEST_A_UNSEEN_SPEAKER,NON_STATIONARY,9569,-1.25,6.84,8.09,8.15,0.7478,1.073,0.0718,2,0,2.021,4.524,6.065,10.052,10.681,0.2912,E1_tinyenhancer_raw_primary.pt,e8be2573957bfe0927f2de4d1f137b1cc5c5b621ce8e48bbf31b4469a4c40e29,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
E2,TinyEnhancer,NLMS_RESIDUAL,False,TEST_A_UNSEEN_SPEAKER,NON_STATIONARY,9569,-1.25,6.36,7.61,8.99,0.7644,1.0794,0.0664,1,0,1.985,2.705,3.781,4.029,4.031,0.2511,E2_tinyenhancer_nlms_residual.pt,80a92251e5012e357061b45453c2d333bd7424f19408f628cbe95870c6605b7c,8f895a924dfd3a1d3cb49bd7c96ed9ee4cb58e8706b4f1f40173e93907e300e7,bc84ec63608d058c36ed64144d9139fec69ce34a
